Minisector,BOT,LEC,Fastest
0,290.27222186666665,285.32531623334165,BOT
1,296.63405801739134,294.7095906690282,BOT
2,292.334680089441,287.7612357729637,BOT
3,122.30403811310345,110.59343692530894,BOT
4,225.22978590081556,221.51680206451613,BOT
5,276.26557461587305,272.0279185873637,BOT
6,223.35338606714765,218.91703398172112,BOT
7,166.89682412307693,159.8791153521292,BOT
8,220.6722907997671,209.69582801838453,BOT
9,232.72044388045978,221.3486962481198,BOT
10,123.84969755904483,119.95678835165604,BOT
11,232.5036560741451,231.0662611720542,BOT
12,127.51103786991582,124.17500050431134,BOT
13,230.71962073957306,225.0931942950337,BOT
14,280.2339224990637,278.03641335652173,BOT
15,228.0817233204301,216.2305577474148,BOT
16,199.43344037183795,190.48233360649957,BOT
17,258.03205078974355,242.43215429101113,BOT
18,220.73861153447794,201.1087180675797,BOT
19,180.97837676396398,178.22052003501895,BOT
20,264.1849981642144,260.9788798691469,BOT
21,284.9381944,285.6841497344224,LEC
22,183.12157793198136,175.16452213824343,BOT
23,218.974729427957,214.3001820500656,BOT
24,270.79410258319297,268.008012836716,BOT
