Minisector,RAI,GAS,Fastest
0,280.98270434708996,279.0706286474424,RAI
1,306.32770360119696,301.11694449777775,RAI
2,320.76388864,312.10169110812916,RAI
3,327.76831483076927,319.46888888888884,RAI
4,331.6360119619048,324.15659340659346,RAI
5,333.2548937426522,326.4186109866667,RAI
6,208.74842311552794,188.52806240157707,RAI
7,109.69233596503302,103.10896114216449,RAI
8,190.68156679704404,189.4876899878788,RAI
9,266.24036467488753,268.55046364444445,GAS
10,294.5699997866667,296.9590353330831,GAS
11,168.10075939998873,149.7146942095238,RAI
12,100.57152174704814,95.96825217642315,RAI
13,119.68038955572715,119.01989433182958,RAI
14,227.8035779094386,218.93001024468163,RAI
15,178.21739153623187,182.35294616243414,GAS
16,219.32145556643445,213.7993952120496,RAI
17,174.648334336,174.20420650427866,RAI
18,237.71470083657474,242.54447874708998,GAS
19,281.00755226666666,281.99479253333334,GAS
20,248.34166666666664,233.65968654793414,RAI
21,145.3739827317972,139.4985587168077,RAI
22,100.27378181907767,95.3360316435432,RAI
23,128.74336558431372,123.71041539023771,RAI
24,232.08613519650652,236.83928767518796,GAS
25,263.229168,,RAI
