Minisector,ANT,HAM,Fastest
0,287.8455873990885,288.4696769129634,HAM
1,307.59873129382134,306.42070298543285,ANT
2,311.2671505423377,299.16537314245613,ANT
3,202.47706137904763,198.60055225914266,ANT
4,232.84061832402298,232.50510423087252,ANT
5,222.82387276519304,219.19548739896877,ANT
6,203.40693532943305,211.70966705348658,HAM
7,232.36233810536262,229.42091448465098,ANT
8,269.87928753835496,267.5520128369335,ANT
9,276.73695528666667,272.6245640195346,ANT
10,177.02440839143088,176.0622602686324,ANT
11,238.74416998782092,234.64991383176704,ANT
12,111.79827338766013,114.95841774879257,HAM
13,223.42050686706827,223.2054878861942,ANT
14,277.1933027191302,275.31710117707405,ANT
15,292.9987662799423,293.01543540848485,HAM
16,221.01222994250784,223.9335841248288,HAM
17,189.72649154841926,184.10074220758133,ANT
18,268.2438514626347,265.7157750896886,ANT
19,295.1672269365195,292.61887272742877,ANT
20,307.60563206643684,304.63649112675654,ANT
21,306.14622031891156,305.40482250525156,ANT
22,281.3413871937251,284.4679506222222,HAM
23,119.29026621243301,117.56040497003447,ANT
24,243.57026915267124,239.91285589530358,ANT
25,273.75,274.6458328888889,HAM
