Minisector,ALB,RIC,Fastest
0,323.4057957533835,302.2159420753623,ALB
1,330.854414340457,302.89903628480727,ALB
2,273.2210144927536,248.31543047901235,ALB
3,160.776511325209,156.34823141897238,ALB
4,165.7093842334517,171.9032102970271,RIC
5,215.1506944,215.1360424711111,ALB
6,227.70769565480464,236.6452974947894,RIC
7,214.83333333333334,215.2940866408602,RIC
8,262.4442746243912,265.0908305042351,RIC
9,257.03312629399585,259.6236266975123,RIC
10,273.58779761904765,272.4916669681159,ALB
11,270.6834553628359,270.16324997333334,ALB
12,262.93416666666667,271.8332589650794,RIC
13,260.6371747631727,266.6383749228213,RIC
14,175.6642857142857,182.14021187301586,RIC
15,236.49413142956053,237.88541101021252,RIC
16,210.4437602627258,204.08840044329003,ALB
17,177.87131599485198,172.24796003916154,ALB
18,258.2708333333333,256.0790009173333,ALB
19,285.6422905660826,285.76875352273686,RIC
20,251.4352380952381,252.5581762765432,RIC
21,190.72845751576148,188.3391895017028,ALB
22,257.68831168831167,255.69613173333332,ALB
23,283.65063085116816,283.7338145122516,RIC
24,296.3712121212121,297.3729168,RIC
