Minisector,OCO,STR,Fastest
0,293.07321443809525,310.8460456293218,STR
1,237.6620269429277,222.79087236232735,OCO
2,190.54138484174118,187.0139363145348,OCO
3,260.5193444227032,261.58880981308226,STR
4,222.61767737081593,207.71560995268817,OCO
5,111.05448351599968,104.94861837574918,OCO
6,164.5788068222794,164.21720693990946,OCO
7,258.629098557594,256.04361446243587,OCO
8,286.11580914034613,290.6402991033155,STR
9,302.3854310509317,317.93043917837576,STR
10,304.35733893657726,325.5746678821832,STR
11,221.6180921397311,201.57897976986885,OCO
12,134.58884494307765,137.38446623667812,STR
13,251.2875095113721,254.13284934513834,STR
14,287.94460787758044,290.6067624066721,STR
15,298.80795456969696,302.61332649008347,STR
16,291.3098209406922,301.1467882333333,STR
17,248.13863354638448,247.22252993799725,OCO
18,178.441793803275,172.02736692804777,OCO
19,173.56150407425636,167.39527463577863,OCO
20,173.04837450334938,187.55620923290044,STR
21,239.25566645280665,238.36188409459493,OCO
22,117.11640753560583,111.25515608352178,OCO
23,197.9700345510697,206.77979033069124,STR
24,274.0934866305427,276.22440069718533,STR
25,286.0,,OCO
