Minisector,BOT,ALO,Fastest
0,284.90979168,288.10133203706437,ALO
1,289.74861112865307,297.68562787875976,ALO
2,174.89635493333333,161.80800101966133,BOT
3,218.44904952421118,217.45543348213405,BOT
4,268.10392871619047,267.9007913439821,BOT
5,288.46754380350876,288.73223161200855,ALO
6,289.4236911077918,295.7694762423072,ALO
7,177.27056571182794,176.49387201778728,BOT
8,122.33766052603069,118.89231872439464,BOT
9,245.9384930668759,243.91492911222417,BOT
10,281.5187752682078,279.44748024473256,BOT
11,289.055044154386,292.1644737684211,ALO
12,148.4255440496996,148.42244033490945,BOT
13,190.69613108571428,180.36649006519798,BOT
14,252.64642854603176,251.85946957575754,BOT
15,208.39737622286296,202.01934686181448,BOT
16,212.217787654807,203.30910014466266,BOT
17,217.07882164762978,206.54340326201762,BOT
18,242.10032454372293,234.02088299814758,BOT
19,272.81418561048685,271.4898807365079,BOT
20,289.50865006988516,289.87248076095,ALO
21,268.8737499733333,260.69629793656134,BOT
22,228.02980050047552,223.29355250042673,BOT
23,203.2070704151324,199.5611650338681,BOT
24,260.54412883364995,257.7416665759637,BOT
25,,276.1250016,ALO
