Minisector,LAT,RUS,Fastest
0,268.9483325333333,270.58450916492916,RUS
1,289.8476504880708,290.07796853602423,RUS
2,295.80637032535907,295.15357124010023,LAT
3,123.06062902156836,123.52079298061538,RUS
4,189.04269965315999,194.46888737042445,RUS
5,248.34461710366816,252.07499671869132,RUS
6,141.78918836993708,136.30369493827328,LAT
7,195.02228636730524,201.19782561379628,RUS
8,256.4082788414836,257.358560522449,RUS
9,273.2782927775868,276.1026914792344,RUS
10,228.11699985066664,229.09732841217934,RUS
11,171.59666128680075,170.41149476270772,LAT
12,184.42286543448276,188.69416865563136,RUS
13,144.32979110818215,141.92395467271768,LAT
14,170.8500776232011,178.97583281777779,RUS
15,157.26736187102415,161.0052321834868,RUS
16,214.24220200438663,217.11966685866668,RUS
17,222.74144743407732,227.9549203950829,RUS
18,231.3437459069564,234.81666671304347,RUS
19,235.68759028609858,227.26898530807327,LAT
20,140.03984106166254,141.69348859302636,RUS
21,134.1952679730546,131.4484290562993,LAT
22,165.9269562313719,170.1137629582344,RUS
23,147.51576856576304,145.6498487847475,LAT
24,222.80143107340052,228.42470183745766,RUS
25,255.35000000000002,,LAT
