Minisector,PER,LEC,Fastest
0,300.60126812753623,319.64185604848484,LEC
1,302.2624191379886,320.0890578961511,LEC
2,257.3153303405714,263.7733333333333,LEC
3,154.19580262795415,149.32084735451664,PER
4,169.19133839619047,163.43579046153846,PER
5,217.61921467898514,213.4516469231746,PER
6,234.5930602713954,228.0642132078236,PER
7,213.2545216904378,210.16202789622332,PER
8,268.00296164793434,258.71590739201287,PER
9,252.4880146730267,253.81697615847617,LEC
10,269.635178298142,268.7218537698242,PER
11,269.286448919192,273.34474630724634,LEC
12,269.49049975466664,271.72145182456296,LEC
13,265.8468132220603,265.9907590263255,LEC
14,178.90056249987128,179.0290322788705,LEC
15,239.42741284579498,238.09544574548698,PER
16,208.51343801476733,200.6136335232184,PER
17,176.14731693913453,169.19771307468673,PER
18,258.6600052775613,256.85197563800904,PER
19,285.81208768261274,285.4821428571429,PER
20,252.08111304674318,235.3193835246037,PER
21,183.70502288393882,184.0749097881674,LEC
22,256.6002585633747,257.1049173826614,LEC
23,285.5151441990827,284.78187226320347,PER
24,296.3128624695652,298.3210417066667,LEC
