Minisector,ALB,GAS,Fastest
0,295.70902746666667,293.8297287900629,ALB
1,304.51969692121213,302.70198415238093,ALB
2,273.8158121033571,275.66303492931155,GAS
3,113.73756797111456,108.69913004236928,ALB
4,227.7359180505747,226.24840546938776,ALB
5,274.1211378151619,274.49742024026676,GAS
6,205.32512905050504,203.98502026066504,ALB
7,172.06509289194074,166.23482967308166,ALB
8,205.08583683034857,208.65077296344086,GAS
9,216.1380962064516,222.412891185889,GAS
10,117.9300316723128,114.83973291245647,ALB
11,231.51150637979092,228.9388345221675,ALB
12,121.04875281719801,118.26405046479037,ALB
13,228.96034368735633,228.16579118089672,ALB
14,275.8906282412576,275.407986,ALB
15,221.34516276989245,217.74834865039082,ALB
16,198.3362348476105,197.86078365490198,ALB
17,255.80518054603175,250.06645819529643,ALB
18,202.63717162700237,200.89604089400663,ALB
19,191.33846118991596,184.11943381366908,ALB
20,267.7140375527893,266.6035423192479,ALB
21,292.0159720888889,290.05056230117407,ALB
22,168.26485601256826,165.94919584998914,ALB
23,219.0605588645161,214.2222020520635,ALB
24,275.6034739429998,273.7376133933763,ALB
25,286.7,287.05,GAS
