Minisector,PER,VER,Fastest
0,304.5251009197848,306.5934525714286,VER
1,238.783278799552,240.69871278370442,VER
2,126.96122338500594,130.5712686454144,VER
3,242.3046287664261,240.62635629241413,PER
4,189.87999180268963,196.22387466884354,VER
5,248.10733536234346,251.77997331212006,VER
6,233.82120216997427,232.97544132368253,PER
7,257.9067521220838,256.0932153454875,PER
8,291.26323010077925,292.2750154609778,VER
9,199.3206198723986,213.73824402827623,VER
10,199.22454689023857,197.95280443998078,PER
11,272.0243614371848,275.69453764770907,VER
12,211.29900116813852,214.0681007520569,VER
13,250.12624828472482,246.28422219720164,PER
14,290.75981573333337,292.5050964729821,VER
15,307.4681968181521,309.4654751098028,VER
16,309.1143442144108,311.9842730880535,VER
17,212.86931547649968,211.65637080582155,PER
18,262.25817636200014,257.5995422142651,PER
19,295.11545596275135,299.29514382534796,VER
20,309.82688490522594,311.39137822509315,VER
21,312.2462794648196,315.4003750933333,VER
22,154.75367087404277,152.4086212454985,PER
23,229.70396837315022,231.50950801249837,VER
24,286.9079881576434,287.0725986732841,VER
25,,300.4166670222222,VER
