Minisector,LEC,VER,Fastest
0,295.21675326350737,281.7045570957453,LEC
1,150.19545297068393,152.4948914343977,VER
2,143.55932409591793,148.06433465868784,VER
3,226.07829741823508,224.09686910121636,LEC
4,296.8552637312542,286.36815716173913,LEC
5,288.6821299930736,287.0989490908124,LEC
6,136.63967476374083,139.42942630762528,VER
7,134.61317072281943,136.26991334070652,VER
8,129.6527112795616,131.70819699463163,VER
9,188.14316833307623,185.88019189388746,LEC
10,127.71070773463713,128.27191976371805,VER
11,121.39485457015051,119.04156717749127,LEC
12,161.66262459954652,164.8166050531777,VER
13,269.5927317775574,267.54800482709607,LEC
14,296.68564271705685,292.24316285925596,LEC
15,143.6811839210681,150.82061721839352,VER
16,199.23648292990802,203.2681867649323,VER
17,162.7172643506451,172.67771977146631,VER
18,272.9286515894303,269.57205858416586,LEC
19,297.49406833510477,293.171235224127,LEC
20,314.49254404239343,307.6064753376266,LEC
21,322.44255482872256,316.80624994285716,LEC
22,328.0715635016355,321.76626701931974,LEC
23,338.8173938237909,325.3809523163059,LEC
24,341.30535807746344,324.0182256399093,LEC
25,341.0,,LEC
