Minisector,VER,PER,Fastest
0,275.23513734140954,274.4275956158454,VER
1,294.4025836928139,297.92358502871696,PER
2,290.3934620361157,297.51162034962965,PER
3,181.30821515263747,168.77655094682206,VER
4,121.84511853946367,118.18996799685668,VER
5,231.86074682006512,235.45326854368994,PER
6,281.03052414222225,283.7166297035294,PER
7,292.77009702316883,298.7048478293333,PER
8,180.14039350312171,185.3298538193005,PER
9,141.31234137965973,134.71821896239996,VER
10,247.1846694654916,244.5512600239863,VER
11,285.1131944205848,285.8683276486003,PER
12,295.04563509164024,298.5371599129252,PER
13,283.36664120352737,282.6157917156275,VER
14,293.8589572509174,292.199411101998,VER
15,291.6587558273346,295.377440792381,PER
16,258.5581840302883,256.2644171264,VER
17,237.76296541302682,229.35676957669494,VER
18,276.2471838448826,274.51642108708575,VER
19,294.03849568124673,295.5635374272799,PER
20,292.8169572305366,296.09398718016627,PER
21,240.78621387915484,240.42300760149456,VER
22,263.5867564989092,260.4889767246281,VER
23,132.4810816132237,139.7467999710826,PER
24,213.25711911037922,208.09089041060673,VER
