Minisector,HAM,ALO,Fastest
0,286.12484583672517,295.8994227191043,ALO
1,289.5014498294612,298.3514663736381,ALO
2,171.75073935952815,155.3504208434062,HAM
3,224.53462861687785,222.29586161668135,HAM
4,270.80764398571426,279.00680290786136,ALO
5,291.34841477235767,305.7836338474088,ALO
6,294.9640283835828,309.01234482171003,ALO
7,168.47631374216112,175.22547222113377,ALO
8,124.42911916941904,123.48839961709785,HAM
9,246.63255778285716,245.00571951259462,HAM
10,282.8187104474272,279.8811582168451,HAM
11,294.82546732952386,289.179414615873,HAM
12,136.64678131355458,155.58145623180442,ALO
13,194.1077834001517,191.6255825731278,HAM
14,256.8367627115458,249.46026435214685,HAM
15,191.26800949371636,205.75095931234026,ALO
16,217.30149687329663,218.89808513679318,ALO
17,210.40134839731093,209.3926110635339,HAM
18,240.53083779794775,241.90242328067228,ALO
19,274.59449708095696,272.16605220428573,HAM
20,292.0356724850356,285.0191351193277,HAM
21,258.89404171286526,262.8965012449488,ALO
22,225.2635017324043,225.28072639274376,ALO
23,200.17262941822474,207.39469885384324,ALO
24,259.6657084776419,261.33054253386155,ALO
25,275.7656256,,HAM
