Minisector,NOR,ALB,Fastest
0,289.38251743361633,287.3346431302139,NOR
1,308.2280208569632,306.6371540807519,NOR
2,306.89463772748127,312.65224198474186,ALB
3,202.47660522093827,199.26487053736886,NOR
4,234.83296652900688,233.85643454113378,NOR
5,223.29552268701394,226.59229047855197,ALB
6,206.3684201319243,209.78627013308756,ALB
7,231.2007974244898,228.2418786564157,NOR
8,269.8616592206803,271.1161274926722,ALB
9,280.7750992770054,274.04846485781434,NOR
10,175.74740024087237,169.57829978928103,NOR
11,237.23050922683788,240.74717939360744,ALB
12,120.74746247577983,113.21014574688282,NOR
13,226.21182384484848,226.7864135633065,ALB
14,278.9295539796304,277.54374439074377,NOR
15,294.93797063372534,294.89134745561114,NOR
16,218.91509913153592,213.063542586867,NOR
17,187.01020483238415,182.89786458409415,NOR
18,267.54198741750645,272.1887592070309,ALB
19,295.26645361922897,293.62814867389926,NOR
20,306.75714644248194,305.8793664506782,NOR
21,306.5727381739683,306.96623379116886,ALB
22,273.89059448402116,275.39350220772053,ALB
23,118.46576931787276,120.70747372966292,ALB
24,246.0484551628219,243.74862443718385,NOR
