Minisector,SAI,RUS,Fastest
0,293.8499419160248,298.2225074952657,RUS
1,157.33382892790135,164.16274690398532,RUS
2,153.9921448879336,157.1810052797581,RUS
3,222.67616004481832,228.35152345991986,RUS
4,285.59067424424876,284.22683408618514,SAI
5,296.33746314323383,291.43174546204443,SAI
6,152.59238339768748,148.8701909528337,SAI
7,141.58786604466928,150.16546337674816,RUS
8,147.10669844866467,148.28518645675413,RUS
9,184.5921621092066,186.8938071141983,RUS
10,135.8015485890527,132.97794452641293,SAI
11,127.53170552832603,128.67177042997636,RUS
12,151.83857423007214,175.22915475106956,RUS
13,267.32522295415873,270.21110163810073,RUS
14,294.50467787482444,293.1423847775661,SAI
15,151.47505602066377,143.69863344503887,SAI
16,207.4953433144351,210.21041366586692,RUS
17,172.37442083229385,180.65976624566534,RUS
18,272.35451263622195,275.1921908196448,RUS
19,295.67293768138717,296.20976064533335,RUS
20,308.3707804292283,306.97794113528823,SAI
21,315.87041670933337,313.64024484232806,SAI
22,320.6685327951625,317.54705601322314,SAI
23,323.3604167253333,319.3508121687075,SAI
24,324.25581817893607,319.9705714285714,SAI
