Minisector,OCO,STR,Fastest
0,281.4089676927831,278.51955380796505,OCO
1,115.72424835681754,124.7220337862707,STR
2,159.31139526990935,152.8884954489138,OCO
3,204.2737152306384,215.046234309638,STR
4,153.20907254168887,156.7423555414644,STR
5,240.48535693931973,240.02818841055384,OCO
6,196.63284773197816,221.68135797748917,STR
7,131.99747997032284,128.1197273501816,OCO
8,225.37866330281656,228.60891685068324,STR
9,278.02387980682556,279.7804865725605,STR
10,277.3697368421052,286.26773689705277,STR
11,137.48889091829474,138.0467976611092,STR
12,212.85081544347827,210.8932491948029,OCO
13,264.0328322293271,266.8860720839506,STR
14,256.9868713581095,262.06824596,STR
15,97.35781532502806,96.23046378124015,OCO
16,203.3837037037037,203.72224115389923,STR
17,270.10520275719085,271.5784946733673,STR
18,298.06599682928106,300.3052162318851,STR
19,311.9156755050505,318.10854161333333,STR
20,322.21490380307694,328.38541659076924,STR
21,278.817545562328,284.7733315700889,STR
22,146.5988177770301,143.72805888047225,OCO
23,235.39685189774437,231.96213866020204,OCO
24,281.7198529411765,281.8874537713563,STR
25,294.6312504,298.6937472,STR
