Minisector,HAD,LAW,Fastest
0,244.73312409481483,257.07272363512044,LAW
1,132.755980835745,134.03212509799204,LAW
2,202.33532847238095,208.1961265432381,LAW
3,240.67619221865817,246.47930254448485,LAW
4,256.5345120386552,260.62675124755583,LAW
5,184.11394737381983,177.72154923634398,HAD
6,145.6687114766432,147.95848399063448,LAW
7,183.6064629309146,186.7796686705325,LAW
8,104.33487081033712,103.87422829866178,HAD
9,73.86261470713883,73.5205762512512,HAD
10,94.35550708014854,96.85795264817115,LAW
11,172.5912503632253,182.85717634127616,LAW
12,237.21128210971253,243.44619200120093,LAW
13,261.45613553244044,264.72092342726313,LAW
14,270.35150449959184,274.3254679642729,LAW
15,113.28587021854105,103.45728141443136,HAD
16,140.1437220119228,147.94928383108348,LAW
17,181.28840174222222,184.23064572836896,LAW
18,191.163846058271,197.86962994927993,LAW
19,214.86405081723686,217.5820581647059,LAW
20,132.44989877469922,134.5988649576635,LAW
21,113.90060834309956,118.94034423831049,LAW
22,100.8360520339473,94.1833668034481,HAD
23,199.19132884825396,190.69769497809807,HAD
24,245.54290442983998,245.79666612,LAW
25,259.92000512,261.8,LAW
