Minisector,VER,STR,Fastest
0,256.07129795555556,262.45260156681246,STR
1,133.34325655851507,137.59046866492946,STR
2,199.37145525333332,198.00099347301585,VER
3,246.59772115513138,246.6927659359162,STR
4,258.16093786666664,258.73437466666667,STR
5,186.01941822524086,185.11558248311687,VER
6,148.87088707772384,146.85506348145623,VER
7,184.88436166393154,180.40652377971014,VER
8,104.62414544708099,101.83426920344604,VER
9,78.80823169201705,77.72179958962964,VER
10,95.80596333327723,94.13981107737372,VER
11,178.3522205387133,181.7460658517169,STR
12,245.1013822008274,248.75416753333334,STR
13,262.20868985904764,270.8140340602262,STR
14,262.66139701490556,278.9124978488889,STR
15,119.85051417426209,119.17582574542956,VER
16,141.8949575374603,143.96184596394326,STR
17,194.1988765018619,195.6999997968254,STR
18,200.95687306666667,204.5365144441255,STR
19,219.04407938245618,220.27242269149332,STR
20,133.61591366603122,131.430730219291,VER
21,119.85919240942854,115.32141283277446,VER
22,94.44349421695948,92.72058550482426,VER
23,195.50634681904762,200.71527964444445,STR
24,249.2865179607843,252.42317966162463,STR
