Minisector,SAI,NOR,Fastest
0,307.5682278558968,305.92914760083937,SAI
1,240.39563565263092,232.20240702939958,SAI
2,136.1992543633797,130.54769835632527,SAI
3,218.7568548590646,217.417833216,SAI
4,263.67083424000003,264.78578947368425,NOR
5,290.4165309317013,288.94473678596495,SAI
6,304.28921568627453,302.7046296296296,SAI
7,293.312497362963,279.4089473684211,SAI
8,178.27445909891628,172.05801713809524,SAI
9,239.57689527272726,239.4679077250479,SAI
10,273.7446335206562,273.4891666666667,SAI
11,267.8929155733333,263.98833333333334,SAI
12,206.51833309866666,202.71043584624647,SAI
13,128.47732868611837,124.80130413424037,SAI
14,124.79268758688708,119.21236242837307,SAI
15,163.47324845714286,165.7211094664845,NOR
16,123.40524577513588,116.29723991178986,SAI
17,228.54166784927537,224.55260404444445,SAI
18,190.29884815448278,180.23044624285237,SAI
19,156.69537990364145,161.45367265595013,NOR
20,245.347081347483,247.91904761904763,NOR
21,274.5354172266667,277.40813518682944,NOR
22,291.64828095999997,293.74745368888887,NOR
23,301.44976865185185,302.8460784313725,NOR
24,305.37500003137256,305.78771929824563,NOR
25,306.48333333333335,,SAI
