Minisector,PER,GRO,Fastest
0,260.94605365567963,262.3356189396551,GRO
1,133.31294380422386,133.12995466580958,PER
2,267.4036656370755,263.73997127599677,PER
3,307.81217756825396,303.349626080829,PER
4,306.4050000213333,301.0903808914286,PER
5,312.4574398218106,307.7399306666667,PER
6,315.24385881496,313.9141369904762,PER
7,311.31395793754547,316.69635413333333,GRO
8,197.6156233390753,211.69930368253966,GRO
9,201.17407710841,198.04699211943372,PER
10,178.93090027642612,189.52484156325133,GRO
11,164.9982869282115,158.39986394867358,PER
12,256.3060263495241,246.99160961966206,PER
13,283.5182957390713,282.96915160038157,PER
14,278.21480039553444,281.4505391041593,GRO
15,271.2842258377176,286.75180847472524,GRO
16,183.57479376984446,186.67662968302744,GRO
17,190.96719028917335,194.88651617809862,GRO
18,244.76221248735632,233.85392404761905,PER
19,290.82793551480876,284.9528289053498,PER
20,312.50070230913144,306.88675106720507,PER
21,319.51444358029335,313.6833021174427,PER
22,318.6529266666667,314.25460890358534,PER
23,259.76668375491266,280.9231027164835,GRO
24,115.24743140742893,111.38229432099912,PER
25,232.7000064,225.86666737777776,PER
