Minisector,OCO,ALB,Fastest
0,248.59362970369318,245.41572188950983,OCO
1,126.35578104835932,121.47028533356668,OCO
2,260.135996084255,264.99990854680135,ALB
3,302.7188073695073,306.85131371664625,ALB
4,304.06255680783215,300.258160501115,OCO
5,312.555811797551,317.530377056508,ALB
6,315.9376663812987,330.1730998265076,ALB
7,310.93098566505495,330.81188077037905,ALB
8,195.03735328084656,187.59687283932075,OCO
9,183.072234270327,175.94412642267346,OCO
10,179.80831707666613,172.21493253606852,OCO
11,168.36087324996683,167.2624010258958,OCO
12,243.2747575011173,246.94881783188268,ALB
13,269.5414005107907,240.99923422126318,OCO
14,273.1466491661662,257.88982703386216,OCO
15,265.9093179881275,254.84892990151957,OCO
16,169.12553044130254,165.37283212297015,OCO
17,175.19719830402778,173.15708441859758,OCO
18,229.53914824741855,227.64455386835718,OCO
19,277.9790274452279,277.9544504489827,OCO
20,300.9384385382953,302.1932955471515,ALB
21,309.09540116707734,308.85946377819835,OCO
22,305.30707226610616,307.76479584190474,ALB
23,250.82432750352834,235.91514772822214,OCO
24,112.78443742625798,108.49386491129798,OCO
25,216.2,,OCO
