Minisector,OCO,BOT,Fastest
0,289.10019678557,287.5964740166739,OCO
1,298.67119826729146,296.88587275174604,OCO
2,288.74758493642514,294.2758991192397,BOT
3,182.6150267356229,186.04725828702794,BOT
4,204.0425942458167,204.31072307588792,BOT
5,201.3563350780133,207.72104783272388,BOT
6,258.0733442742857,261.2048496310135,BOT
7,247.83348522733158,252.87846545664726,BOT
8,204.41884415365078,200.41113966067826,OCO
9,203.80993455624883,211.53297257094985,BOT
10,139.12131434416378,134.0409489010406,OCO
11,191.45382663596277,207.25236568563233,BOT
12,176.72348193852665,176.27826526603394,OCO
13,251.21550976870748,243.20673055675994,OCO
14,168.3668284349399,177.6249824442196,BOT
15,229.91684414439783,225.83450751271707,OCO
16,273.36248980825394,272.91575648447997,OCO
17,280.2893769671265,274.3124088193407,OCO
18,272.20076763890336,251.30460768866132,OCO
19,254.87598738242423,241.71770351514454,OCO
20,252.2660245165981,247.3286722273524,OCO
21,251.55158797925927,251.79936290765755,BOT
22,219.9293476733383,239.02257422423992,BOT
23,193.15165111724139,190.00281910822764,OCO
24,265.5452023203086,262.0044141760095,OCO
25,279.520832,278.74666624,OCO
