Minisector,PER,HAM,Fastest
0,281.8640350315789,297.1924103746032,HAM
1,157.51691449862537,156.16173074384412,PER
2,175.273571884088,163.44791402258122,PER
3,245.09765668688644,245.3799650727619,HAM
4,277.3854341277702,282.65137436398265,HAM
5,246.50199065671393,247.172784937004,HAM
6,227.74385166261808,217.89681843113547,PER
7,160.12923715152075,152.01368774392608,PER
8,230.06793618751897,227.34781566202687,PER
9,277.3574397658874,279.37453187296967,HAM
10,296.0202167716384,296.419706556975,HAM
11,306.16257517233083,305.57078479277106,PER
12,309.72676767030305,310.490874262097,HAM
13,307.1784431109788,306.11357277995955,PER
14,126.3119024425292,129.33078113318217,HAM
15,112.54846789329156,122.77201595430614,HAM
16,98.79810827495146,91.48292784572926,PER
17,235.58210230095236,223.69197962437318,PER
18,282.2592963398818,280.90516533368555,PER
19,302.4924060642517,302.5814729302857,HAM
20,314.0126625102222,313.194782832493,PER
21,317.43272323428573,314.31466547510706,PER
22,122.28203178904718,132.50399045877785,HAM
23,205.1069928638133,184.2825689271311,PER
24,262.1040353253594,265.9315332238711,HAM
25,,280.49999872,HAM
