Minisector,PER,STR,Fastest
0,290.67744954761906,301.6878595440116,STR
1,300.34682554920636,319.8206765171501,STR
2,275.09607916596826,295.48069030647343,STR
3,104.91190515627494,107.16829472171717,STR
4,224.86916688894448,226.4454080791293,STR
5,270.37946480346324,275.1486798708075,STR
6,215.10132475791355,196.10261664287182,PER
7,168.17084227345552,163.13177754305656,PER
8,208.50221265985786,199.6259517598861,PER
9,218.34284691809523,212.27542411954647,PER
10,118.5854996457008,114.26675289832109,PER
11,230.51684280041127,221.10063024967133,PER
12,124.04132959601965,107.62611479560105,PER
13,222.0150836682422,228.7613702853194,STR
14,271.54492749271395,286.0998321395932,STR
15,224.3945464507864,208.42966931688872,PER
16,194.83195413312714,201.14507775426222,STR
17,248.37142664410254,242.73045367670088,PER
18,212.30179040545792,193.58107125232044,PER
19,183.22815342105085,191.84691968419608,STR
20,262.168676893372,264.3607220436364,STR
21,288.95156959769116,288.3793795918158,PER
22,172.19942459568787,166.66763690701646,PER
23,210.41451025645932,217.44495676189575,STR
24,268.7730528806885,272.0620536024022,STR
25,283.2083328,,PER
