Minisector,HAM,VER,Fastest
0,267.552176008582,264.9448860888769,HAM
1,133.46762505749794,151.09722924008892,VER
2,194.8335422574027,175.80674542400715,HAM
3,246.30176860438752,241.05754975398557,HAM
4,261.7596148395604,261.26882897418,HAM
5,176.46139963506985,198.23613907103703,VER
6,145.1617850255805,154.4146739478261,VER
7,183.02818244376468,168.09878815984368,HAM
8,100.7812796862845,121.38712220181526,VER
9,74.7632130385619,83.19951136300315,VER
10,96.21234205631706,96.5327170478978,VER
11,176.99671641160245,140.62112764560115,HAM
12,243.12269499082984,235.0339648727668,HAM
13,269.50960570843296,264.2076923076923,HAM
14,281.0648749631285,280.21701386666666,HAM
15,114.54662901534178,187.2655192373797,VER
16,139.35563747064455,105.1915687191658,HAM
17,183.0023015402533,205.34824664009437,VER
18,188.90992188021673,185.8793233082707,HAM
19,207.17037030426462,228.0637415435927,VER
20,129.4069919798756,149.13818570916663,VER
21,111.86626946771993,159.054465971662,VER
22,90.60623087471161,82.8011544183301,HAM
23,190.3299661168619,158.82748313144882,HAM
24,249.00944334222223,237.79595871540775,HAM
25,,256.0562496,VER
