Minisector,SAI,HUL,Fastest
0,294.92765146320346,297.3313663469979,HUL
1,245.50881435897435,243.30748314224755,SAI
2,203.38238383506476,203.0883333688889,SAI
3,267.08665029619516,265.47927476892016,SAI
4,231.35480603880072,232.75862025255734,HUL
5,117.81682256557527,115.28466206145907,SAI
6,175.99411639145777,177.7952211137255,HUL
7,258.0294000554666,254.7477819860229,SAI
8,286.1990080435374,285.5791668848485,SAI
9,298.7761905015873,299.60970741384665,HUL
10,304.68446661481505,305.55058779809525,HUL
11,215.60287581460318,225.4725548846722,HUL
12,149.24163285066723,144.99152790985426,SAI
13,257.65569062801416,253.9397969415252,SAI
14,286.8670988845018,286.86174261471865,SAI
15,295.12441957028034,297.9036703740579,HUL
16,292.80069893862355,294.4710805354987,HUL
17,258.5166401693593,263.2341513208175,HUL
18,181.2131048984598,183.68568487307417,HUL
19,180.37793809802798,190.6465445878272,HUL
20,187.64913389472443,174.37807679564472,SAI
21,246.2258110867785,248.67896040527373,HUL
22,126.83298795354833,128.9860781997859,HUL
23,200.10813633816244,187.82167195714285,SAI
24,274.4790682423565,272.4471889175925,SAI
25,286.0250016,288.59166719999996,HUL
