Minisector,PIA,SAI,Fastest
0,291.0554977658095,295.71231020071025,SAI
1,301.9233823018488,315.22516666666667,SAI
2,303.2390176005409,318.80437789601274,SAI
3,193.48065947193334,180.69779226492622,PIA
4,210.3424484868214,205.8634208096587,PIA
5,202.89470825031694,198.3128437120912,PIA
6,262.56657869172903,261.7877928786769,PIA
7,255.28955131097308,267.68253635710147,SAI
8,213.4695762100618,213.48034276830163,SAI
9,210.75627022058373,221.78134711350108,SAI
10,140.75313830086628,139.14747641800557,PIA
11,200.89679340495348,200.38847808793645,PIA
12,188.4290447884283,185.5450153058564,PIA
13,252.05906370811508,252.78281894749924,SAI
14,185.49942644063492,180.41296533176472,PIA
15,231.4871043339269,229.52337646337662,PIA
16,279.7119981329705,278.2515305953954,PIA
17,290.767638281946,290.7461850569697,PIA
18,285.63933506408716,288.0079678278363,SAI
19,273.4462897287247,273.91775404768975,SAI
20,265.82625424159164,268.723673809858,SAI
21,264.88941810427934,262.9057331495527,PIA
22,231.14001794288512,229.80934154202725,PIA
23,207.63863368932104,209.569069072987,SAI
24,266.9888140300164,268.78212237183175,SAI
25,281.0,285.01666666666665,SAI
