Minisector,NOR,HUL,Fastest
0,314.3867853420606,313.1845405401212,NOR
1,210.58576669968255,210.6330800558422,HUL
2,224.99840095980466,228.55476177191696,HUL
3,281.4485073308119,282.7920343612364,HUL
4,233.00168905295237,245.9236491798335,HUL
5,125.15662691696895,125.55748774761905,HUL
6,212.7635672916787,210.34122720013852,NOR
7,262.86725662211177,260.6374270815584,NOR
8,241.60489376822997,250.09482909496597,HUL
9,233.1451763774359,239.92832504160367,HUL
10,275.1272847004444,278.5029092566082,HUL
11,289.30492269435064,295.191996663853,HUL
12,305.68527874493503,310.15741516663104,HUL
13,320.4990459463678,323.39876453426905,HUL
14,325.35845962828284,324.8880554666667,NOR
15,263.2474169587302,253.30854936098766,NOR
16,245.99069930707165,239.50024984319924,NOR
17,285.6178272581818,283.4681165732756,NOR
18,303.2691053258346,305.07334534321564,HUL
19,158.44357745088433,163.3776020031054,HUL
20,206.96376901681023,206.97307768228572,HUL
21,179.62250190640324,182.9052956141323,HUL
22,145.045471456994,138.26728470132704,NOR
23,243.85026004962614,236.33633694129307,NOR
24,296.2587392697744,293.46389908266667,NOR
25,309.3048083692308,309.45357074285715,HUL
