Minisector,SAI,HAM,Fastest
0,279.66146274947107,282.62105295584416,HAM
1,119.11515848864153,123.00481534471025,HAM
2,159.75274521909702,149.5164460154481,SAI
3,207.66082066010054,217.7410371688038,HAM
4,156.13878479046798,160.22041236038092,HAM
5,243.83003249523813,242.1678385896622,SAI
6,206.70389105666817,215.75504648761907,HAM
7,132.8452332219901,132.2153458011543,SAI
8,230.4280302914732,229.67523151795854,SAI
9,275.6118601766824,269.29922949915965,SAI
10,286.10006868705887,280.9402823046465,SAI
11,145.1332673470283,148.21176062332066,HAM
12,214.09161116460274,212.08639955791455,SAI
13,265.8669907966387,264.6370363533333,SAI
14,261.14409411241115,269.34831463230626,HAM
15,101.34007903021013,100.3574933873575,SAI
16,217.0139142587942,213.3334569384022,SAI
17,272.08131208126986,266.3603711553411,SAI
18,299.3673211387013,290.6515401265401,SAI
19,315.97168969034016,299.69564418050214,SAI
20,323.61358827554307,306.206849467754,SAI
21,273.0693764737471,291.736428584127,HAM
22,148.05263083056929,147.78499643400718,SAI
23,234.8862974570001,229.24546580727275,SAI
24,281.6497174841751,272.3529431801307,SAI
25,,285.0838503687355,HAM
