Minisector,ALO,STR,Fastest
0,303.2877589555073,292.15023447333334,ALO
1,215.88595791227053,225.0488950811944,STR
2,131.2421071079162,131.10912938194005,ALO
3,218.78494396919788,212.60277665398996,ALO
4,264.286870075739,259.91550371337865,ALO
5,288.69006099666666,285.23981412063495,ALO
6,295.6538807508497,298.48961723117606,STR
7,257.71132075202064,267.7533527967347,STR
8,171.53207560799308,166.53313215828697,ALO
9,240.38311140567924,234.3837123705263,ALO
10,268.0211468265793,268.5884653810101,STR
11,259.6007849356725,258.965848147559,ALO
12,206.2024606429807,207.2143622360494,STR
13,124.43437185975549,119.63923514596188,ALO
14,125.02678993691562,125.95066142743384,STR
15,160.50673848356797,158.73063792216342,ALO
16,123.17550473196324,124.73316413368664,STR
17,226.50242732946532,224.14169377596374,ALO
18,173.0156545219614,176.56164409520323,STR
19,162.7649513367119,159.5684258705813,ALO
20,244.47506570333334,242.22776299349522,ALO
21,271.8005329766261,268.4677706421164,ALO
22,293.4030633720635,286.31571387697477,ALO
23,312.34130318933336,297.2058454368628,ALO
24,323.27148432285713,302.7615444708417,ALO
25,327.0,305.0,ALO
