Minisector,SAI,MAG,Fastest
0,290.40326953693005,300.6930182269388,MAG
1,294.3375730196079,311.39634779076925,MAG
2,158.94853865980363,157.2254763052101,SAI
3,217.9918431799846,214.11558926524413,SAI
4,270.3504772931696,280.41659633333336,MAG
5,292.1171865109815,307.11055643697483,MAG
6,298.8721510269733,319.2457144990476,MAG
7,156.03860987870968,162.58732593982592,MAG
8,123.07914447050506,119.73342521916713,SAI
9,247.99310429926436,248.12629363809523,MAG
10,288.7547484894942,296.44289700050876,MAG
11,301.1523101780494,310.4141965924233,MAG
12,148.06569709234842,139.01468788448074,SAI
13,192.8909352066116,187.25865845343915,SAI
14,255.67492261137696,253.19485376533333,SAI
15,196.49703683483256,190.45925072996337,SAI
16,211.31002521104864,201.59653010490496,SAI
17,201.890126810386,199.9753065976889,SAI
18,237.6091646001803,232.57690272,SAI
19,276.05539126417113,272.73312803151464,SAI
20,294.21297633523807,293.89233107238095,SAI
21,260.46071220638413,254.44618367558897,SAI
22,220.30094734689519,210.55658849231276,SAI
23,203.60217593803358,197.651503188937,SAI
24,262.43048678319326,266.6394531396949,MAG
25,280.8874976,,SAI
