Minisector,STR,HUL,Fastest
0,298.90601181797973,300.67836737460937,HUL
1,185.16196793536182,179.97162872382754,STR
2,221.69102868235362,221.4070157854601,STR
3,274.9773134855844,274.7130043594068,STR
4,235.44668950684357,240.1617844562154,HUL
5,123.89072150871749,121.92599718025748,STR
6,201.86427935534397,191.6332927404381,STR
7,230.66337464419487,233.51221395174804,HUL
8,218.26081358189364,227.9064107502961,HUL
9,225.0870243401819,223.24096564470008,STR
10,269.6543801471605,272.38929420972084,HUL
11,288.7600336812706,289.12373492817625,HUL
12,300.3475094693018,298.4787826104491,STR
13,318.38115098062104,303.4114536340852,STR
14,324.44678571428574,305.83157893533837,STR
15,222.687659938411,253.62279581734708,HUL
16,233.17055403514388,219.37726480073007,STR
17,280.5061481080059,269.6979128738087,STR
18,293.05795987491996,289.98744746068155,STR
19,137.94111992770806,148.40676259338196,HUL
20,181.80331496927369,197.5174685260747,HUL
21,168.7222799829043,187.2437441992346,HUL
22,134.09190581856416,133.12578706398503,STR
23,230.13470439856562,230.2671994346209,HUL
24,280.93652243242855,278.38593045853906,STR
25,296.13804299130436,298.5282608695652,HUL
