Minisector,HAM,NOR,Fastest
0,277.84665877413977,281.3803849287982,NOR
1,225.59900295314284,220.19576184761902,HAM
2,115.07980673564401,114.19425203654153,HAM
3,194.39284408950792,200.33066457104294,NOR
4,172.7526880344086,169.70087287511583,HAM
5,224.23582193112756,222.32363525079367,HAM
6,287.44931352804235,279.5233390596491,HAM
7,308.3663688804233,297.43198677673263,HAM
8,180.96567537269843,167.84075713613444,HAM
9,125.9838031769247,122.51845947151173,HAM
10,136.52811280853484,138.13796114459217,NOR
11,199.8250910945055,203.85602076483516,NOR
12,209.89194765294857,203.50140296378012,HAM
13,131.08546742113822,130.582305853097,HAM
14,142.42114861898636,132.15071137331776,HAM
15,132.01866733339418,147.2466295058491,NOR
16,264.29843962134635,260.3542227384588,HAM
17,135.26200040686678,134.89309453717993,HAM
18,201.81921629050717,209.29677493136103,NOR
19,132.3731145043436,126.65219213954444,HAM
20,145.70750644782584,142.38239488995484,HAM
21,128.50145636311748,125.93952889613688,HAM
22,151.48879398284691,160.8000240749766,NOR
23,222.51709396746614,216.72345216000002,HAM
24,242.58858731594205,243.38481299570054,NOR
