Minisector,VER,HUL,Fastest
0,303.05666678303027,297.3313663469979,VER
1,257.992856431746,243.30748314224755,VER
2,199.68816607810137,203.0883333688889,HUL
3,265.47665068051947,265.47927476892016,HUL
4,232.7943913698237,232.75862025255734,VER
5,120.75384998829102,115.79790906032095,VER
6,181.78703893692278,182.09107184761905,HUL
7,258.9434609527308,256.4149805587205,VER
8,291.6561984088598,285.5791668848485,VER
9,306.7149802920635,299.76854650715666,VER
10,314.0278509313283,305.6453794247619,VER
11,226.65566623452096,216.08413350703984,VER
12,151.96545854345146,149.58038424562534,VER
13,260.92808283514574,258.3289163539259,VER
14,293.375568504146,288.12757955192745,VER
15,306.06925600761906,297.81301940386464,VER
16,304.00189988193165,294.31818858904853,VER
17,266.44283758412695,258.90675250581876,VER
18,185.6520097078296,183.2269305379685,VER
19,185.50801284561447,186.00314127642054,HUL
20,185.7647197044733,181.22562587799766,VER
21,250.37579417859507,244.98796021327374,VER
22,126.69624430089479,125.07638399194697,VER
23,197.31460459174602,198.0463111009524,HUL
24,279.0044360587454,274.6028616460261,VER
