Minisector,PER,NOR,Fastest
0,288.802869557477,290.3508853439891,NOR
1,297.0419124705882,293.98530756491226,PER
2,174.62730897537304,161.00748405814335,PER
3,220.67725557460315,221.66144579079025,NOR
4,272.92811959680756,270.5184090032307,PER
5,292.4114357493858,287.2739036310777,PER
6,299.0104636471178,286.01638472982455,PER
7,185.35210381845403,177.92246467543623,PER
8,124.22095492691845,123.49988381654161,PER
9,247.01345762551972,247.99237822146492,NOR
10,282.17910367919796,280.83394077893155,PER
11,291.59517518596493,285.1271930385965,PER
12,154.24821589479743,145.95338185803797,PER
13,189.7398079624156,194.86365606303843,NOR
14,254.81599009477404,254.8500027446098,NOR
15,211.47566186835022,194.734051397458,PER
16,219.8474059946093,216.65748975446874,PER
17,217.35247658057142,213.50409578057145,PER
18,241.34413440014217,245.4264430360463,NOR
19,273.29979728423933,276.71111202215843,NOR
20,289.01754374736845,290.2652881964912,NOR
21,269.16884989111907,263.13688705399016,PER
22,232.0450839983437,225.3600572963771,PER
23,203.42837714188434,204.89383415834672,NOR
24,261.19132731212886,263.9913056326213,NOR
