Minisector,RUS,HAM,Fastest
0,278.0862911631221,288.71410527556327,HAM
1,292.2957573947805,306.72585375682087,HAM
2,275.82296282909095,280.64413037905734,HAM
3,162.63376448296003,176.68641736375005,HAM
4,112.5096786649018,116.53271243720155,HAM
5,243.94814520817772,236.4076619861336,RUS
6,293.6654562574634,297.7862333899473,HAM
7,296.57479907214724,309.2454801195959,HAM
8,170.05325292925752,166.14552002301684,RUS
9,133.64231490002177,137.32006460906086,HAM
10,254.50193493501223,251.62079445056312,RUS
11,292.939840296353,290.12497498169466,RUS
12,293.25016321091465,294.7670213458643,HAM
13,276.58599506981363,271.65309410890046,RUS
14,290.23741319947874,286.23803031757575,RUS
15,282.67618699364516,278.2456551420583,RUS
16,240.00442614627303,239.56894006440797,RUS
17,222.80438661762406,221.90941196048547,RUS
18,282.7943443650794,274.3643791258321,RUS
19,304.66994704448587,299.33437541149635,RUS
20,301.59751619530823,307.00231670022674,HAM
21,235.33978933634074,219.4931019683975,RUS
22,232.3608654157295,243.03984935114408,HAM
23,134.9017540194843,134.45429806322977,RUS
24,206.78241279284774,205.616651283791,RUS
25,259.5750016,,RUS
