Minisector,RUS,NOR,Fastest
0,296.17906279028693,298.6293348646191,NOR
1,252.58047518247156,234.47191650126624,RUS
2,195.02475019163364,191.6955827399571,RUS
3,263.83026713513226,263.0497393306183,RUS
4,228.2527479554281,207.61936823871412,RUS
5,108.94196644442847,106.32662944026939,RUS
6,159.72105829182055,167.79114210020282,NOR
7,254.82545799102715,256.61955884102565,NOR
8,287.57470341554136,288.37636748279994,NOR
9,303.08630760116944,304.45404367394383,NOR
10,309.56447923634164,307.34275739064066,RUS
11,217.5144495880807,209.25081460979317,RUS
12,139.02270682323186,136.6876073395263,RUS
13,251.48741874988005,253.286904162647,NOR
14,288.11225345015873,290.6180988614493,NOR
15,300.6711268537566,301.86161223973767,NOR
16,299.5430688815264,298.0706211541201,RUS
17,259.4610977031332,253.55820608410255,RUS
18,179.17277900728928,175.49461569331635,RUS
19,177.6930536274867,168.49316662957784,RUS
20,178.52903472075408,176.55761631767714,RUS
21,247.10812192784422,239.51179608507937,RUS
22,119.74327916313996,113.47244116613962,RUS
23,192.3056288722442,199.81752041566503,NOR
24,273.4233972588959,276.8457999116402,NOR
25,287.72500096,,RUS
