Minisector,ALB,SAI,Fastest
0,289.82765551908034,288.5996404727098,ALB
1,306.8122034673737,305.20875013333335,ALB
2,299.13249952,298.5123630188923,ALB
3,187.06028541283678,180.83167191808303,ALB
4,224.39386883460568,226.77495213245066,SAI
5,212.71069788507822,210.06556483006062,ALB
6,197.66278154739302,193.20883940547364,ALB
7,221.2442348636457,218.4147782338178,ALB
8,257.3713546222222,259.45843297777776,SAI
9,260.7472467238095,262.89121892984747,SAI
10,177.98391259301496,173.71470556862747,ALB
11,239.77897455186047,241.03741932327927,SAI
12,122.46617098936592,118.44040810028366,ALB
13,228.98095775853506,232.08816823466665,SAI
14,272.3083664188562,275.09736761619047,SAI
15,277.3479166683983,279.71224465124715,SAI
16,214.7529472948911,206.75190809671778,ALB
17,194.8230036413952,187.99267712323234,ALB
18,269.9595733589518,271.1016236233654,SAI
19,293.0445863256236,294.7832073050505,SAI
20,304.4527424203535,305.59208341333334,SAI
21,305.71068588117913,305.5416666209524,ALB
22,260.97876297052176,254.9985117637485,ALB
23,121.02329030730253,117.16331635204713,ALB
24,241.65278632838098,246.242812981685,SAI
25,272.9,,ALB
