Minisector,RUS,NOR,Fastest
0,278.0862911631221,283.8767507972699,NOR
1,292.2957573947805,294.37377394885084,NOR
2,275.82296282909095,274.57380469427886,RUS
3,162.63376448296003,166.0155642225903,NOR
4,112.5096786649018,114.85330203519038,NOR
5,243.94814520817772,240.45610136861907,RUS
6,293.6654562574634,288.9606478459822,RUS
7,296.57479907214724,289.79678074356264,RUS
8,170.05325292925752,170.51507343762785,NOR
9,133.64231490002177,139.32754078979187,NOR
10,254.50193493501223,260.2155558826187,NOR
11,292.939840296353,297.2038256185085,NOR
12,293.25016321091465,296.96220764485855,NOR
13,276.58599506981363,271.8143496602881,RUS
14,290.23741319947874,284.1624373488684,RUS
15,282.67618699364516,277.17671434556837,RUS
16,240.00442614627303,233.61663167114253,RUS
17,222.80438661762406,225.71331299007142,NOR
18,282.7943443650794,280.6430911777645,RUS
19,304.66994704448587,297.8351504711111,RUS
20,301.59751619530823,297.19556204377614,RUS
21,235.33978933634074,223.80266243869076,RUS
22,232.3608654157295,235.32876564267661,NOR
23,134.9017540194843,133.7752430302556,RUS
24,206.78241279284774,216.22092597686859,NOR
25,259.5750016,,RUS
