Minisector,RUS,ALO,Fastest
0,318.03630268478054,318.83279565343884,ALO
1,328.43404613132833,329.09509175071014,ALO
2,328.20205620037194,331.86310722742854,ALO
3,187.29258256868482,183.5980993425759,RUS
4,126.0733040174544,106.79660123193962,RUS
5,263.29019682905056,263.2609557148361,RUS
6,300.6544013991342,299.32659853494766,RUS
7,314.1330128,314.80742627361343,ALO
8,267.48490005707004,264.54841189027456,RUS
9,138.85128748018684,137.58788505783485,RUS
10,211.85126349871354,210.98289471264368,RUS
11,206.87507452527538,202.69194493401204,RUS
12,186.54075878565197,184.56185442223486,RUS
13,263.29435274352215,265.9355594109091,ALO
14,301.7223735044156,301.60488857790324,RUS
15,313.90156633040414,315.2516426996218,ALO
16,264.51979444627375,242.96770897608465,RUS
17,208.08356771416035,208.15601115286947,ALO
18,270.1545586269553,275.13046604341054,ALO
19,308.4036684988988,306.6664578684701,RUS
20,319.85662514726266,320.31089996973463,ALO
21,304.4281156791797,293.09263285740155,RUS
22,201.22956675917533,197.53614198013074,RUS
23,255.745977936734,261.6111998057143,ALO
24,300.2811744833016,300.52591207302413,ALO
