Minisector,HAM,BOR,Fastest
0,288.71410527556327,282.83424533074975,HAM
1,306.72585375682087,301.9173807475132,HAM
2,280.64413037905734,280.1714120968152,HAM
3,176.68641736375005,158.19100329860893,HAM
4,116.53271243720155,111.7039969239339,HAM
5,236.4076619861336,241.9301784345116,BOR
6,297.7862333899473,283.8993549549206,HAM
7,309.2454801195959,289.28341500040403,HAM
8,166.14552002301684,170.96251766830935,BOR
9,137.32006460906086,135.49359095920485,HAM
10,251.62079445056312,250.57632775703703,HAM
11,290.12497498169466,292.81751358535234,BOR
12,294.7670213458643,294.7027063343377,HAM
13,271.65309410890046,265.55080272626327,HAM
14,286.23803031757575,283.14970800813626,HAM
15,278.2456551420583,278.88153918787503,BOR
16,239.56894006440797,236.11120251114062,HAM
17,221.90941196048547,218.3482366407495,HAM
18,274.3643791258321,281.56725174222225,BOR
19,299.33437541149635,307.07363871255313,BOR
20,307.00231670022674,307.0303713916215,BOR
21,219.4931019683975,218.14017795678706,HAM
22,243.03984935114408,233.4078581485689,HAM
23,134.26614704486173,130.4845931089724,HAM
24,202.3629747661439,207.05275835822758,BOR
25,254.6750016,,HAM
