Minisector,LEC,ALO,Fastest
0,281.582232125673,282.18631590232593,ALO
1,297.7070296562358,297.23029912347823,LEC
2,301.0219513004329,298.3311468172532,LEC
3,176.24997447521164,177.61957867059732,ALO
4,219.85141729229971,222.66220971594012,ALO
5,205.46567162310185,204.5413549015231,LEC
6,179.2168239557914,179.2010976650864,LEC
7,205.19863294227795,211.67803335336464,ALO
8,255.12698596513766,258.0583249601467,ALO
9,263.4368385642504,270.75780929041974,ALO
10,167.79613584272604,167.8085089680259,ALO
11,235.48270020576322,240.3334674381628,ALO
12,115.85491724509737,115.46393981801508,LEC
13,224.92831036098,220.7814839590148,LEC
14,277.2640755560055,277.21309660428847,LEC
15,294.51401684855716,293.9441317031884,LEC
16,220.01636934229438,212.4590092851481,LEC
17,182.70494342620492,183.1351924375206,ALO
18,265.53550490016227,266.8386427006815,ALO
19,292.61452514110493,292.81511324517004,ALO
20,302.0717755366224,302.52353004699626,ALO
21,303.6929202090582,302.3459428654907,LEC
22,278.8619416829794,262.9640102617897,LEC
23,114.95177449570349,116.4101193916187,ALO
24,237.08624125486824,237.4969612191615,ALO
