Minisector,LEC,NOR,Fastest
0,250.52169986888887,248.53229158445055,LEC
1,286.2675604076872,284.5552550257143,LEC
2,182.7975978692789,182.14633417646465,LEC
3,162.28640765928608,153.30806610445183,LEC
4,257.4765884639318,261.097549408,NOR
5,272.44682827580954,274.52409983546636,NOR
6,234.1672028383067,237.77992570675886,NOR
7,217.59335405714288,209.18111114697538,LEC
8,162.3837270749655,156.75614759627652,LEC
9,217.24061318179895,224.88847800527472,NOR
10,273.93532564343593,276.50531891022223,NOR
11,125.26487178738941,131.56129717231647,NOR
12,207.91877574357963,210.6258882113805,NOR
13,273.90224910506663,275.89795634511495,NOR
14,299.1780549688889,296.904651155737,LEC
15,310.06020474828284,307.1691418169237,LEC
16,256.90894552673967,248.397659700456,LEC
17,130.67663945459765,127.8227203013118,LEC
18,132.50290015740782,127.60313249145165,LEC
19,124.79085068484869,123.77125992153478,LEC
20,220.0177989272193,227.53037890624893,NOR
21,253.4903732104258,262.26973663733594,NOR
22,243.83448660483515,246.35644056270064,NOR
23,217.03220010111923,224.64217208724273,NOR
24,138.74016603177228,139.1963791475253,NOR
