Minisector,SAI,HAM,Fastest
0,289.37292227004644,289.0516921924515,SAI
1,294.04415967764174,289.7939480177778,SAI
2,164.49318579584414,160.1207960850315,SAI
3,222.4966237254266,219.25313897243637,SAI
4,272.5368343500891,271.22142415407404,SAI
5,294.79752801313873,292.53022504296297,SAI
6,299.14351833563813,301.0016667022222,HAM
7,163.6775341968254,165.02910019226593,HAM
8,121.97924510788319,124.43526042209277,HAM
9,246.16806540511277,247.06765478868078,HAM
10,284.4892954588002,282.2963250998946,SAI
11,293.8235819966984,290.86208051248195,SAI
12,145.69592878627705,150.0551438712424,HAM
13,195.26049586016688,182.00558771812237,SAI
14,255.02237587978638,252.4038526703896,SAI
15,201.10095664315537,207.81387722666665,HAM
16,211.67122522220606,208.1361029549147,SAI
17,207.73847386551225,210.85239222008286,HAM
18,238.42891473568628,241.18152058912364,HAM
19,277.26850746074075,276.81078085925924,SAI
20,293.00035778585857,294.6252740912554,HAM
21,257.54552503510206,264.14735956207886,HAM
22,221.87151061773105,222.76657740606962,HAM
23,207.25886701511112,200.44313551838385,SAI
24,265.6142982866121,261.14757603301746,SAI
25,,279.34285714285716,HAM
