Minisector,SAI,ALO,Fastest
0,253.32794929953602,255.13288735188846,ALO
1,209.57329145334444,199.9186631163454,SAI
2,206.18897836011115,208.18785993344315,ALO
3,256.2089444947908,261.33444467070706,ALO
4,272.2947852909926,275.35282174521535,ALO
5,292.2242902421094,291.1956127198589,SAI
6,168.63826579742496,154.04329939211252,SAI
7,184.78419678756114,188.48342777295716,ALO
8,268.6782728,272.54240988504614,ALO
9,297.2232691404147,308.0633161802688,ALO
10,308.33311926245426,325.2102732020168,ALO
11,313.67174259745366,305.058457847815,SAI
12,110.81633314135873,100.93541812989004,SAI
13,196.99474288298978,196.79995145018535,SAI
14,272.57147942647345,279.8558142061839,ALO
15,296.68717434180707,311.3628906522306,ALO
16,302.7685755507181,322.63458338158733,ALO
17,187.52025930446842,176.73661955265305,SAI
18,220.46330744396937,220.19121951012346,SAI
19,272.27754494439074,267.4054969281988,SAI
20,149.74897415623823,143.77077482737542,SAI
21,146.86190812653302,145.17731066893901,SAI
22,226.6684225184051,223.51860080827748,SAI
23,233.94158558118787,224.7166629492029,SAI
24,156.77025251576148,164.82597060695696,ALO
