Minisector,VER,GAS,Fastest
0,315.7675185273201,316.99981842025124,GAS
1,324.6840081095551,331.7627814496241,GAS
2,325.72733147301585,334.4479113114638,GAS
3,186.84377389053225,154.11871451705628,VER
4,129.43398521717438,131.80447897902516,GAS
5,259.0778459114667,260.20199365016106,GAS
6,295.85445931419315,296.43870658181817,GAS
7,308.91167566836367,311.2855120320452,GAS
8,265.7204438120546,258.7428766910758,VER
9,144.93224766918877,143.74853414537603,VER
10,216.02655305290324,201.39199842563812,VER
11,213.7506426552381,197.9460357761482,VER
12,197.96601728201682,180.96548626995278,VER
13,263.9448283106543,266.9032771756999,GAS
14,299.0955514748904,305.86474765452624,GAS
15,313.94807006745333,326.6868730353885,GAS
16,267.6416501585348,247.85288594679574,VER
17,209.89330511029908,194.29747014680134,VER
18,270.27676533684985,266.5851041680119,VER
19,300.5944388842481,303.038448603356,GAS
20,314.1379194038689,320.72598662736846,GAS
21,296.8317476170159,295.48194820444445,VER
22,211.14246951894415,190.9278916924822,VER
23,259.438048584127,260.9146942169792,GAS
24,296.43951649637256,298.7485785098955,GAS
25,306.2812512,311.31000064,GAS
