Minisector,HAM,KVY,Fastest
0,288.9189585066666,287.88104144,HAM
1,293.0325937980324,285.2032306882242,HAM
2,168.11587285751708,164.70053716363637,HAM
3,235.9510424,227.2509231924395,HAM
4,280.1290590510261,270.22868863901215,HAM
5,298.0190671461531,286.59627179147867,HAM
6,303.96127454117646,291.1560184888889,HAM
7,153.66710677183744,150.1256908350877,HAM
8,149.49766274612244,143.21508749134355,HAM
9,256.9416100742134,250.27310550303034,HAM
10,286.83932737566136,278.9198761039833,HAM
11,297.6914926793148,289.3725466713882,HAM
12,148.3254398069794,147.11193898656296,HAM
13,210.29551138048146,205.59772270926442,HAM
14,269.44686850167943,251.02668465001634,HAM
15,210.42828006061723,203.13519790087983,HAM
16,228.67564207373525,224.96532051345753,HAM
17,223.31738062019048,221.6597499483086,HAM
18,253.53529720394195,250.85376038095237,HAM
19,280.97412376666335,275.3049516595203,HAM
20,296.88157911578946,285.7109793978967,HAM
21,267.5598610544849,263.2596434819048,HAM
22,228.20544033443147,224.31374128432228,HAM
23,216.97020463247623,213.04256574405557,HAM
24,273.7835323574012,265.55172611255307,HAM
25,289.4166677333333,,HAM
