Minisector,RUS,VET,Fastest
0,262.4746194339182,271.29185804559313,VET
1,279.5143865464627,297.6771527777778,VET
2,278.5152855833333,309.40089299809523,VET
3,122.75758122952438,121.71217646728122,RUS
4,192.4197244027171,200.03325615374763,VET
5,253.99949047536438,253.48349510138982,RUS
6,141.72616623195398,131.09850294029272,RUS
7,197.0156904958153,201.00524594909092,VET
8,249.8748250122449,256.0045856916763,VET
9,272.55085942457663,276.0338062746599,VET
10,229.8304099435168,226.42255841396826,RUS
11,177.72469611755102,175.11253719521505,RUS
12,181.39317327295075,191.53195214682464,VET
13,142.79811514074075,133.3908688166367,RUS
14,165.3248419768889,166.12818421464476,VET
15,155.9978995232653,151.10273288028674,RUS
16,204.89834059393937,215.0148595116406,VET
17,226.68556126811893,222.3126988,RUS
18,230.72211886657598,231.1789255120988,VET
19,239.24299998933142,223.28192745101418,RUS
20,144.89533033476644,140.89434202023278,RUS
21,130.91435473660619,132.9481641346058,VET
22,161.64735927211754,170.12118121157923,VET
23,150.21812957985185,144.80942522259102,RUS
24,225.9922239423045,223.35215654647345,RUS
25,249.08181643636362,,RUS
