Minisector,KVY,PER,Fastest
0,328.3282150059422,322.7477225672878,KVY
1,344.2277775746032,328.7799242666667,KVY
2,344.8061508571428,324.27536231884056,KVY
3,192.92089659759768,204.48422367029502,PER
4,120.51306036300267,118.82169515816044,KVY
5,265.39478577995357,265.51730769230767,PER
6,300.8125734121306,301.25701256871133,PER
7,308.3019927188406,312.4115942028985,PER
8,271.7579396910053,278.68605769230766,PER
9,145.88834939977866,144.68720600806432,KVY
10,217.68876347474747,229.19291781975167,PER
11,212.6802465559785,210.36757703081233,KVY
12,200.17117163243245,199.93836668536414,KVY
13,268.7796628401712,266.3695274407487,KVY
14,303.33159684444445,305.1094178055541,PER
15,311.5718212925763,315.4559782956522,PER
16,264.4084134222222,273.11995131503073,PER
17,202.3909565956986,198.0988095695238,KVY
18,272.9216337289377,266.8427619556094,KVY
19,306.5341299849275,305.02249996800003,KVY
20,316.9927536231884,316.33179738325697,KVY
21,295.7638949604171,309.10471014492754,PER
22,205.9467587395573,208.79858783589575,PER
23,263.6389738588724,259.79338624338624,KVY
24,301.7172612336996,302.350166656,PER
25,,316.18750079999995,PER
