Minisector,BOT,NOR,Fastest
0,305.20818104280613,306.19340736317866,NOR
1,319.9743574745206,321.2145832888889,NOR
2,288.8529311547524,283.29252432409737,BOT
3,114.96432596379833,111.47410025025441,BOT
4,226.31442851607756,231.45319762690312,NOR
5,274.825,284.8086651111286,NOR
6,226.21311012086238,216.611907339265,BOT
7,167.2470763966651,163.01407700890243,BOT
8,202.4757597878165,197.1101504530656,BOT
9,220.12244199947762,203.05070408509556,BOT
10,115.14229539599239,112.77532986812092,BOT
11,228.8800478475381,227.0853207677834,BOT
12,116.3751729082292,116.78987858114307,NOR
13,223.702617459225,224.2096746575295,NOR
14,272.2925423897226,272.40612630445736,NOR
15,227.93538339704224,209.29740486456404,BOT
16,198.72293486180462,199.4201291785929,NOR
17,254.69520097578567,250.6053139062642,BOT
18,209.12955991544368,192.8883732727393,BOT
19,184.18931580678682,187.34219275767617,NOR
20,269.02284562963746,268.58872034829517,BOT
21,294.5531954689212,294.6965219425321,NOR
22,160.69227826172366,158.80436458590478,BOT
23,208.53103046663168,211.73808929145403,NOR
24,272.98798712477515,271.6737718258109,BOT
25,286.37916693333335,,BOT
