Minisector,HAM,COL,Fastest
0,288.71410527556327,283.39074055962476,HAM
1,306.72585375682087,297.5659316085691,HAM
2,280.64413037905734,275.8440488268607,HAM
3,176.68641736375005,169.42309442439927,HAM
4,116.53271243720155,113.12125948976113,HAM
5,236.4076619861336,237.23221231900303,COL
6,297.7862333899473,286.30445303081416,HAM
7,309.2454801195959,294.37693747658403,HAM
8,166.14552002301684,176.07337223988358,COL
9,137.32006460906086,130.70264319188703,HAM
10,251.62079445056312,246.73864118627463,HAM
11,290.12497498169466,291.67892402283707,COL
12,294.7670213458643,293.84318351619044,HAM
13,271.65309410890046,264.3863619303619,HAM
14,286.23803031757575,282.0492412251088,HAM
15,278.2456551420583,279.3264242715151,COL
16,239.56894006440797,242.68176535736262,COL
17,221.90941196048547,208.80646609773976,HAM
18,274.3643791258321,268.57581597074096,HAM
19,299.33437541149635,295.0376416064227,HAM
20,307.00231670022674,298.038750144,HAM
21,219.4931019683975,220.88413959202688,COL
22,243.03984935114408,229.26570610609272,HAM
23,134.26614704486173,134.6696411547619,COL
24,202.3629747661439,196.35891216994318,HAM
25,254.6750016,255.9000007111111,COL
