Minisector,VET,SAI,Fastest
0,291.9063623373494,277.24016785066664,VET
1,161.03539966996362,160.08070407445166,VET
2,155.83020937614035,151.4397550800501,VET
3,228.09761843809522,232.66018389559085,SAI
4,285.5611278575569,284.3249064825487,VET
5,288.4390257447741,275.81124640277056,VET
6,148.68650046071164,144.1172631892648,VET
7,146.85333638803988,142.66607627488236,VET
8,147.04718757056278,139.09478059047032,VET
9,190.01351073949175,199.77252475257603,SAI
10,132.47693982352976,128.89717095357207,VET
11,124.27699099203691,118.1913054314733,VET
12,167.90722513049204,182.57356644088355,SAI
13,269.44602169766233,269.79838065980954,SAI
14,290.1608817388821,282.98392847792206,VET
15,151.66673243851469,149.18381139607422,VET
16,211.3942203526882,203.56374777511522,VET
17,177.1385509317614,186.98007799989176,SAI
18,272.9086799111111,276.84125248530023,SAI
19,294.73389990022673,295.0510986864604,SAI
20,308.11467238095236,306.26369781333335,VET
21,315.62220707689846,312.0444675980784,VET
22,318.7167919799499,314.16174240000004,VET
23,319.91208330666666,316.25375002666664,VET
24,319.1317432932101,314.18245614035084,VET
25,317.6916672,,VET
