Minisector,SAI,OCO,Fastest
0,306.1090291120558,306.36182301793247,OCO
1,238.2649723265416,212.5000987340413,SAI
2,124.97754412441913,125.42586736624634,OCO
3,212.89309858209515,222.4457783247677,OCO
4,260.64234403026,261.4253271901235,OCO
5,286.2528661033053,289.1698232011544,OCO
6,299.71031172661066,303.62914920070205,OCO
7,286.5916964392808,270.6959716223204,SAI
8,169.94699469530377,167.92542328001386,SAI
9,234.70470705270003,233.55331174488887,SAI
10,271.6692595437037,271.838637004657,OCO
11,262.8830445890727,259.8339345815722,SAI
12,205.14093081081484,202.16082442881378,SAI
13,111.5707832507889,123.78426801318064,OCO
14,123.2776818573787,120.18292828178339,SAI
15,159.23696636733075,168.5693942461211,OCO
16,130.4952389563148,119.48670935583455,SAI
17,226.2412501937778,222.8912999942335,SAI
18,175.3302540165661,175.34804381508079,OCO
19,156.23885904653062,149.35211704046142,SAI
20,243.63694375501836,242.55721441122807,SAI
21,273.5044203112522,277.4855266093457,OCO
22,289.4434870420569,297.2285593340952,OCO
23,298.9226588342857,318.01891213852815,OCO
24,303.1158333866667,325.31035074080086,OCO
25,,328.0,OCO
