Minisector,LEC,GAS,Fastest
0,295.2366656295416,278.06292610612246,LEC
1,301.10728791714286,299.0,LEC
2,249.02689477579858,234.4683008671605,LEC
3,119.73999249287465,120.19675977895638,GAS
4,131.78139898053948,134.2714296026921,GAS
5,258.4443464977825,245.3998513756391,LEC
6,264.5363315950476,233.0583415866407,LEC
7,122.654731103812,132.46103238925227,GAS
8,242.8399878339048,250.01109182482185,GAS
9,248.85413643671495,250.37948608505928,GAS
10,219.17404479739633,205.76748321812806,LEC
11,151.20280044399584,138.8782836703385,LEC
12,198.4101845388546,209.53743108940742,GAS
13,258.24908237883596,241.2730671647619,LEC
14,117.38097797242968,110.61219217979266,LEC
15,182.86611429476073,201.27143550871574,GAS
16,266.9384092688186,273.4420551280733,GAS
17,308.0932340343487,310.57255896816326,GAS
18,318.07791671873014,322.92992426666666,GAS
19,310.66242825777033,325.248881602807,GAS
20,304.9105555504762,321.0158088,GAS
21,175.0379698758322,175.67377348005093,GAS
22,137.65695219638476,142.23044743185218,GAS
23,193.06037168285715,184.00722920341204,LEC
24,246.62666467852767,231.79955948210795,LEC
