Minisector,LEC,STR,Fastest
0,256.02913294216023,261.3150240530845,STR
1,235.01472517732768,227.85519565889766,LEC
2,145.3073376231884,131.25706154530943,LEC
3,237.24539947805502,235.21929575683347,LEC
4,268.70950024533334,271.37520393513495,STR
5,183.59259511056024,179.13673334911533,LEC
6,101.25820431435366,101.24585264458368,LEC
7,133.89440570444427,133.68049862027394,LEC
8,246.49358519082892,252.13996676458257,STR
9,172.5611331082045,163.25997324687106,LEC
10,184.79756818622118,177.84723646461632,LEC
11,254.62490142023395,258.4479167589744,STR
12,237.60344694819034,257.73961517159637,STR
13,258.2164088863064,265.59947600457144,STR
14,280.5070655536232,284.3244464480773,STR
15,279.3800998406391,269.6923812312822,LEC
16,136.8947975259182,138.21125710787075,STR
17,229.68853669646577,230.45258555270937,STR
18,275.77821277876507,277.1095843918788,STR
19,285.15250493968256,288.54501485714286,STR
20,286.546221720911,291.7965579130435,STR
21,291.89402179710146,297.78829846856877,STR
22,141.92322183831067,143.1282781047905,STR
23,79.3728526300439,81.71008576615566,STR
24,158.09212573486363,166.22696939399486,STR
25,,241.48958399999998,STR
