Minisector,TSU,ALB,Fastest
0,242.781159910559,245.06040196958924,ALB
1,275.15085440969466,281.22878684807256,ALB
2,182.9304725157248,180.0278505219086,TSU
3,152.22201796695202,145.07489474570548,TSU
4,255.26864764062537,253.76784580011292,TSU
5,272.2559846254545,265.38214569123085,TSU
6,236.8581376586166,212.81856006267282,TSU
7,206.3075609900408,193.84522532437876,TSU
8,165.35834778571427,152.1331212493203,TSU
9,215.09640842221015,213.5415729512925,TSU
10,268.75924140376856,271.34508623282085,ALB
11,132.55858923499716,115.63319570961946,TSU
12,207.70803672222223,207.63111469968254,TSU
13,268.0663404502971,270.7975538172955,ALB
14,289.52613993425047,294.1232499229091,ALB
15,299.1018884237873,301.8042222222222,ALB
16,243.58162994212603,218.78121567166704,TSU
17,136.89211123877513,131.53777752896352,TSU
18,136.8952078504496,129.332476304254,TSU
19,125.35470801214335,119.67995381684194,TSU
20,223.99767685274725,222.16386363636363,TSU
21,258.8793757135161,250.18987787412354,TSU
22,239.25502438348107,221.4661411348508,TSU
23,217.63556556472457,201.63827250035567,TSU
24,135.63170102950684,135.4818618729631,TSU
25,215.66072045714287,,TSU
