Minisector,VER,ERI,Fastest
0,277.9276960627451,274.7806723764706,VER
1,299.6297224533334,302.3614578,ERI
2,310.9265625333333,316.05819372976237,ERI
3,317.81904754285716,323.2610119619048,ERI
4,321.66547619047617,326.9661863834012,ERI
5,322.1596846581734,329.2625001142857,ERI
6,199.52280827733333,197.88106830933077,VER
7,112.1798854441113,105.92849997140704,VER
8,193.65094353015874,189.33442926496133,VER
9,266.23564115975194,262.4231474962963,VER
10,292.3367462704762,287.3871830653968,VER
11,159.09692345396826,161.85576947914615,ERI
12,103.37858018138436,96.76511733813946,VER
13,123.06084653968254,115.49976552900175,VER
14,220.76771106449416,210.93198060606062,VER
15,195.1539607173875,175.5491039322603,VER
16,234.15232561718983,206.8754061229437,VER
17,185.16910840222326,167.6471372800978,VER
18,244.69117647058823,232.17916639999999,VER
19,282.62086884553355,276.18623669036606,VER
20,249.61104650165467,243.74104218666668,VER
21,150.63745983748183,143.81033546034826,VER
22,102.80251875221443,96.95613007698613,VER
23,130.7584498270775,122.24611519197997,VER
24,230.33207382800063,227.18713383272348,VER
25,259.03333546666664,,VER
