Minisector,RAI,STR,Fastest
0,313.01907957894736,295.861131734166,RAI
1,193.59965575252576,196.46554504987066,STR
2,222.98079035297556,225.83730021514904,STR
3,280.8144388441911,268.9980158984127,RAI
4,238.06286888555226,230.3679703730838,RAI
5,120.8587595663986,126.4416885147589,STR
6,205.74744379978625,210.94451392569943,STR
7,255.6608636532054,255.30936038919572,RAI
8,201.43486076893367,206.5181375457544,STR
9,205.48102794728763,206.86827029568516,STR
10,266.60423881721323,262.36275917996505,RAI
11,204.72834970593948,208.8174153300501,STR
12,170.3612431141812,177.9703499213865,STR
13,261.5480229276631,260.86032366754824,RAI
14,286.72748232122126,281.1016058115869,RAI
15,260.4513585633142,256.5141928296034,RAI
16,243.24210106750658,242.41712191585464,RAI
17,282.4165334158789,273.8576377292355,RAI
18,305.9940713507969,280.0753400453515,RAI
19,166.79798621853706,171.672522506885,STR
20,198.261995835564,211.99003463519216,STR
21,164.777240577695,170.86539191110293,STR
22,137.60590293372198,144.0051549778839,STR
23,241.95565592851776,237.55133883669143,RAI
24,292.1394659038123,280.8283012159541,RAI
25,304.94029856449094,,RAI
