Minisector,LEC,STR,Fastest
0,295.2349758139858,295.861131734166,STR
1,202.10764085795222,196.46554504987066,LEC
2,228.77390767266456,225.83730021514904,LEC
3,276.1194706966263,269.34734850909086,LEC
4,243.07551361328677,228.51535585467383,LEC
5,125.91072440038141,126.4416885147589,STR
6,208.40101092241028,211.8750669997816,STR
7,258.396921409573,256.1416040432501,LEC
8,210.04879670380913,204.53475349245252,LEC
9,209.550523409122,209.01153956589573,LEC
10,267.98456512448007,262.61899739905755,LEC
11,211.22789360113123,203.5668022093729,LEC
12,176.25726337110865,179.97803154787118,STR
13,262.45254098753054,260.86032366754824,LEC
14,281.4165457955268,281.1016058115869,LEC
15,254.9897580163798,256.5141928296034,STR
16,238.7824829111365,242.41712191585464,STR
17,271.6266030829787,274.15013117070043,STR
18,284.7560909411382,280.079107047619,LEC
19,180.32284073287843,172.35045043525972,LEC
20,212.4124651693499,212.24098558869719,LEC
21,179.08082061388777,161.61864280888094,LEC
22,141.49072188691954,151.42837975618008,STR
23,239.98636635000616,241.78633417557657,STR
24,282.38924623370133,281.4867917500472,LEC
