Minisector,RUS,SAI,Fastest
0,296.17906279028693,296.40844899626666,SAI
1,252.58047518247156,247.19283724065775,RUS
2,195.02475019163364,202.1483119281187,SAI
3,263.83026713513226,265.2546011677748,SAI
4,228.2527479554281,224.90303415248002,RUS
5,108.94196644442847,112.81646939970963,SAI
6,159.72105829182055,182.2624645782728,SAI
7,254.82545799102715,257.91277995191916,SAI
8,287.57470341554136,288.9770473514976,SAI
9,303.08630760116944,303.3910585756801,SAI
10,309.56447923634164,307.8882989927992,RUS
11,217.5144495880807,239.83634439608392,SAI
12,139.02270682323186,142.871550582783,SAI
13,251.48741874988005,252.60819982984125,SAI
14,288.11225345015873,288.1521044990407,SAI
15,300.6711268537566,300.0735921608834,RUS
16,299.5430688815264,299.71413973631047,SAI
17,259.4610977031332,268.4083574634667,SAI
18,179.17277900728928,192.8148068114374,SAI
19,177.6930536274867,184.1135171175066,SAI
20,178.52903472075408,172.34317376973544,RUS
21,247.10812192784422,246.83447812114753,RUS
22,119.74327916313996,123.4186335174151,SAI
23,192.3056288722442,192.3119793528108,SAI
24,273.4233972588959,273.621568540761,SAI
25,287.72500096,290.51875040000004,SAI
