Minisector,PIA,HAM,Fastest
0,270.19363391252205,269.16840511154084,PIA
1,289.07093603990927,290.9562406520301,HAM
2,287.5798933665408,293.48869756564795,HAM
3,125.73819060977404,123.36896352368422,PIA
4,195.75220567809524,192.40379904736812,PIA
5,244.89065880987772,252.13519425777775,HAM
6,134.92659957370023,137.49329485259184,HAM
7,206.36040463492063,205.8620105177489,PIA
8,258.141256905732,259.6018793619753,HAM
9,277.39726690285715,282.3652879046575,HAM
10,230.39734885431636,232.57156241784867,HAM
11,169.51743257150858,172.5392123202682,HAM
12,194.95821364033014,191.62892850322822,PIA
13,139.9134939770538,137.84417552336717,PIA
14,176.69847123249167,176.26339599113587,PIA
15,164.46411769412893,160.20263875847152,PIA
16,224.80748214744688,221.02210981679653,PIA
17,232.3546792807321,226.71750691726174,PIA
18,238.98258360571427,236.79919343796192,PIA
19,227.06404070615372,225.3118452261778,PIA
20,145.93757553201536,148.8639497915205,HAM
21,129.37055807468678,123.50455849249326,PIA
22,164.89383262375918,167.12621152367814,HAM
23,150.3204252822934,151.36840099589242,HAM
24,227.67103071935497,224.84455935906692,PIA
25,257.97499999999997,,PIA
