Minisector,RUS,STR,Fastest
0,267.00072539577246,268.6990068191893,STR
1,285.80543923714924,288.81747719241616,STR
2,288.6288145352765,296.4671224746032,STR
3,121.16681496713424,121.07985538129036,RUS
4,192.70461909336112,192.83821595482019,STR
5,243.58764817407192,252.00182205490972,STR
6,137.91373812124388,132.91036332844226,RUS
7,206.24893879452793,197.34015776334127,RUS
8,255.22136670155388,256.24290245312926,STR
9,273.46800945945995,280.9426708174043,STR
10,223.83014373763976,225.3497311004363,STR
11,177.93295437790977,169.92763711468663,RUS
12,192.1085801713207,180.09485313316955,RUS
13,145.3839642211627,143.7522202997441,RUS
14,174.24826966544566,172.51746634985784,RUS
15,159.46843183637745,156.46089327085713,RUS
16,212.71464291878942,217.51035708143704,STR
17,221.51907353752262,228.7190396450628,STR
18,231.1597441902854,236.70950439837762,STR
19,241.15617867198515,216.54724096222992,RUS
20,149.79540303370317,141.6714802174955,RUS
21,130.82985364619537,126.37021644937397,RUS
22,170.37433810305427,169.41145672708632,RUS
23,150.5312977197722,143.9354040907346,RUS
24,228.21752811606063,222.40738303324918,RUS
