Minisector,VER,STR,Fastest
0,311.1380532368843,295.861131734166,VER
1,189.0908344661287,196.46554504987066,STR
2,230.08973174910642,225.83730021514904,VER
3,284.13381493452766,268.9980158984127,VER
4,233.87765516634457,230.3679703730838,VER
5,125.35531531508714,126.4416885147589,STR
6,212.81180738598158,210.94451392569943,VER
7,259.7853337656143,255.30936038919572,VER
8,204.43982729858473,208.74103160794286,STR
9,211.497043846205,204.7866057291673,VER
10,269.5098530381153,262.36275917996505,VER
11,208.75845003299693,215.39880748560773,STR
12,182.30826897815277,172.66631636195186,VER
13,263.1780182525516,259.82291829069834,VER
14,287.80816379192925,281.1016058115869,VER
15,256.1561058694443,257.9921106854945,STR
16,244.16574824247246,240.0629750774135,VER
17,285.0840813521861,272.6234206265777,VER
18,309.02115743772544,280.02910704761905,VER
19,175.41736708218716,174.26075780100265,VER
20,210.9827736725044,211.31181911250673,STR
21,170.68555118581608,173.28555530234848,STR
22,141.60050395704204,139.874507360293,VER
23,239.04898867291197,233.25730187549524,VER
24,292.13897747146797,279.20464878768894,VER
25,307.75714377142856,290.41249973333333,VER
