Minisector,GAS,BOT,Fastest
0,316.2754774,324.40905905573317,BOT
1,319.0162526144927,334.0350906702948,BOT
2,312.6970645212121,338.95286260819046,BOT
3,202.94859422253737,189.13566986285713,GAS
4,125.56308713469704,121.65344820229885,GAS
5,264.90385750123454,268.0515172228278,BOT
6,295.48208563352796,306.5479166666667,BOT
7,301.82638888888886,322.4734848969697,BOT
8,272.35181667179717,279.8103740702828,BOT
9,151.62257900642666,141.04928897326067,GAS
10,225.60143267619048,228.7517674047619,BOT
11,222.79787962534925,213.46719400890808,GAS
12,203.11955362285713,197.655442445541,GAS
13,268.1103830857143,270.79444448395066,BOT
14,299.03886386031746,311.98754140183223,BOT
15,307.64692030144926,330.29402710273337,BOT
16,263.34347481904763,265.27990269659756,BOT
17,214.26050455919193,197.73972273552002,GAS
18,272.7187952996337,270.6384111799137,GAS
19,301.7524998217143,308.45316117321215,BOT
20,307.36990406321655,325.5151515151515,BOT
21,297.4711809269841,316.360981068739,BOT
22,219.46190107689992,207.51318684007634,GAS
23,265.5975304296296,266.8431756253873,BOT
24,299.43076287199267,307.0584324698413,BOT
